№,year,first,title,cast,location,lat,lng
117,平成21年度,ま,ＮＨＫ松本清張ドラマスペシャル「顔」,谷原章介・原田夏希・高橋和也・大地康雄　他,千頭駅,35.107678,138.136566
118,平成21年度,し,ＨＥＩＷＡ　ＴＶＣＭ,－,川越遺跡,34.831342,138.154388
119,平成21年度,し,ＨＥＩＷＡ　ＴＶＣＭ,－,大井神社,34.833661,138.171678
120,平成21年度,し,ＨＥＩＷＡ　ＴＶＣＭ,－,清水屋,34.832673,138.174412
121,平成21年度,ほ,映画「ＢＯＸ～袴田事件～」,萩原聖人・新井浩文,大井川鐵道　新金谷駅,34.824029,138.139015
122,平成21年度,と,中国テレビドラマ「杜拉拉昇進記」,萩原聖人・新井浩文,大井川鐵道　千頭駅,35.107678,138.136566
123,平成21年度,と,中国テレビドラマ「杜拉拉昇進記」,萩原聖人・新井浩文,寸又峡,35.178834,138.105761
124,平成21年度,け,ＮＨＫ連続テレビ小説「ゲゲゲの女房」,松下奈緒・向井理・杉浦太陽　他,大井川鐵道　家山駅,34.940029,138.077744
125,平成21年度,も,テレビ朝日特別番組「目撃者」,－,JR島田駅北口,34.830155,138.173407
126,平成21年度,も,テレビ朝日特別番組「目撃者」,－,笹間渡,34.975339,138.098785
127,平成22年度,ふ,ＮＨＫ「ふるさと旅スペシャル」あなたへ～被爆６５年あの夏の約束～,－,大井川鐵道　笹間渡駅,34.975339,138.098785
128,平成22年度,ふ,ＮＨＫ「ふるさと旅スペシャル」あなたへ～被爆６５年あの夏の約束～,－,青部駅,35.089485,138.115652
129,平成22年度,す,テレビ朝日「スーパーモーニング」忘れ去られた”幻の部隊”,－,大井川鐵道　青部駅,35.089485,138.115652
130,平成22年度,す,テレビ朝日「スーパーモーニング」忘れ去られた”幻の部隊”,－,新金谷駅,34.825765,138.137577
131,平成22年度,さ,映画「百合子ダスヴィダーニヤ」,菜葉菜・大杉蓮,旧東海道石畳,34.815541,138.123737
132,平成22年度,さ,ＮＨＫスペシャルドラマ「さよならアルマ」,勝地涼・仲里依紗・玉山鉄ニ,ル・シャン,34.833596,138.176994
133,平成22年度,し,ＴＢＳドラマ「ＪＩＮ－仁－」,大沢たかお・綾瀬はるか・中谷美紀,おもちゃのぽっぽ,34.838298,138.178003
134,平成22年度,し,ＭＡＺＤＡ　Ｗｅｂ用ＣＭ,－,マックスバリュー島田店,34.836852,138.196381
135,平成22年度,し,ＭＡＺＤＡ　Ｗｅｂ用ＣＭ,－,大井川河川敷（葛籠）,34.979033,138.081302
136,平成23年度,み,水樹奈々　LIVE JOURNEY2011 コンサート時送出映像 ,水樹奈々,萬露亭,34.831153,138.179224
137,平成23年度,み,水樹奈々　LIVE JOURNEY2011 コンサート時送出映像 ,水樹奈々,ローズアリーナ,34.850182,138.175479
138,平成23年度,み,水樹奈々　LIVE JOURNEY2011 コンサート時送出映像 ,水樹奈々,島田実業,34.839913,138.185634
139,平成23年度,み,水樹奈々　LIVE JOURNEY2011 コンサート時送出映像 ,水樹奈々,もりのくに,35.134874,138.150346
140,平成23年度,き,ＮＨＫ「金とく」～タイムトラベル！東海道中膝栗毛～,江戸むらさき,金谷石畳,34.816943,138.124605
141,平成23年度,き,ＮＨＫ「金とく」～タイムトラベル！東海道中膝栗毛～,江戸むらさき,池の谷キャンプ場,35.140548,138.128036
142,平成23年度,き,ＮＨＫ「金とく」～タイムトラベル！東海道中膝栗毛～,江戸むらさき,久野脇,34.997453,138.084985
143,平成23年度,き,ＮＨＫ「金とく」～タイムトラベル！東海道中膝栗毛～,江戸むらさき,不動の滝,34.95085,138.123078
